Number,FirstName,LastName,Status,Height,IsUndraftedFreeAgent,InjuryStatus
,Chris,Cooper,Inactive,5'10",True,
,Steven,Parker,Inactive,6'1",True,
,David,Steinmetz,Inactive,6'8",True,
,Frank,Herron,Inactive,6'5",True,
,Deon,Yelder,Inactive,6'4",True,
,Linden,Stephens,Inactive,6'0",True,
,Nick,Gates,Inactive,6'5",True,
,Ryan,Santoso,Inactive,6'5",True,
,Grant,Haley,Inactive,5'9",True,
,Emmanuel,Moseley,Inactive,5'11",True,
,Cameron,Batson,Inactive,5'8",True,
,Joshua,Kalu,Inactive,6'0",True,
,Timon,Parris,Inactive,6'6",True,
,Danny,Johnson,Inactive,5'9",True,
,Jordan,Veasy,Inactive,6'3",True,
,Elijah,Nkansah,Inactive,6'1",True,
,Abdullah,Anderson,Inactive,6'4",True,
,KC,McDermott,Inactive,6'5",True,
,Niles,Scott,Inactive,6'2",True,
,Tomasi,Laulile,Inactive,6'3",True,
,Ben,Niemann,Inactive,6'2",True,
,Ryan,Hunter,Inactive,6'3",True,
,Darrel,Williams,Inactive,5'11",True,
,Jimmy,Murray,Inactive,6'5",True,
,Brandon,Powell,Inactive,5'8",True,
,Austin,Larkin,Inactive,6'3",True,
,Chris,Lacy,Inactive,6'3",True,
,A.J.,Moore,Inactive,5'11",True,
,Trent,Harris,Inactive,6'2",True,
,Henry,Mondeaux,Inactive,6'5",True,
,Jeremiah,Kolone,Inactive,6'3",True,
,Ryan,Neal,Inactive,6'3",True,
,Dontrell,Hilliard,Inactive,5'11",True,
,Johnny,Stanton IV,Inactive,6'2",True,
,Chad,Beebe,Inactive,5'10",True,
,Andre,Chachere,Inactive,6'0",True,
,Deontez,Alexander,Inactive,6'2",True,
,Dallin,Leavitt,Inactive,5'10",True,
,DeMarquis,Gates,Inactive,6'2",True,
,Jaeden,Graham,Inactive,6'4",True,
,Chris,Jones,Inactive,6'0",True,
,Diontae,Spencer,Inactive,5'8",True,
,Sam,Eguavoen,Inactive,6'1",True,
,Deionte,Thompson,Inactive,6'1",False,
,Nasir,Adderley,Inactive,6'0",False,
,Dakota,Allen,Inactive,6'1",False,
,J.J.,Arcega-Whiteside,Inactive,6'2",False,
,Ryquell,Armstead,Inactive,5'11",False,
,Blessuan,Austin,Inactive,6'1",False,
,Alexander,Johnson,Inactive,6'2",True,
,Tristan,Vizcaino,Inactive,6'2",True,
,Emeke,Egbule,Inactive,6'2",False,
,Bobby,Evans,Inactive,6'4",False,
,Rashad,Fenton,Inactive,5'11",False,
,Travis,Fulgham,Inactive,6'2",False,
,Lamont,Gaillard,Inactive,6'3",False,
,Ulysees,Gilbert,Inactive,6'0",False,
,Terry,Godwin,Inactive,5'11",False,
,Porter,Gustin,Inactive,6'5",True,
