Number,FantasyPosition,PlayerSeasonID,AuctionValue,AuctionValuePPR
19,WR,991309079,,
6,QB,991309080,,
21,RB,991309081,,
57,DL,991309082,,
57,DL,991339204,,
23,DB,991309083,,
3,DB,991309084,,
3,DB,991339205,,
2,K,991309085,,
41,RB,991309086,,
41,RB,991339206,,
28,DB,991339207,,
55,DL,991309087,,
82,WR,991309088,,
18,WR,991309089,,
18,WR,991339208,,
5,WR,991339209,,
5,WR,991309090,,
84,TE,991309091,,
50,DL,991309092,,
50,DL,991339210,,
79,OL,991339211,,
79,OL,991309093,,
28,DB,991309094,,
53,OL,991309095,,
53,OL,991339212,,
10,WR,991339213,,
10,WR,991309096,,
4,RB,991309097,,
4,RB,991339214,,
70,OL,991339215,,
70,OL,991309098,,
8,LB,991339216,,
8,LB,991309099,,
47,DB,991339217,,
47,DB,991309100,,
13,WR,991309101,,
74,OL,991339218,,
74,OL,991309102,,
46,DB,991339219,,
46,DB,991309103,,
62,OL,991339220,,
86,TE,991339221,,
86,TE,991309104,,
75,OL,991309105,,
64,OL,991309106,,
64,OL,991339222,,
42,LB,991339223,,
42,LB,991309107,,
16,WR,991327988,,
40,P,991309108,,
40,P,991339224,,
14,WR,991339225,,
80,WR,991309109,,
24,DB,991339226,,
24,DB,991309110,,
0,WR,991339227,,
0,WR,991309111,,
22,RB,991339228,,
22,RB,991309112,,
,RB,991309324,,
94,DL,991309113,,
94,DL,991339229,,
20,RB,991309114,,
72,DL,991309115,,
25,DB,991309116,,
93,DL,991309117,,
93,DL,991343060,,
48,LB,991309118,,
51,DL,991321735,,
90,DL,991309119,,
68,OL,991309120,,
56,DL,991309121,,
56,DL,991339230,,
67,OL,991309122,,
35,LB,991309123,,
71,DL,991309124,,
65,OL,991309125,,
29,DB,991309126,,
29,DB,991339231,,
33,DB,991309127,,
44,LB,991309128,,
44,LB,991339232,,
85,TE,991339233,,
85,TE,991309129,,
81,WR,991309130,,
96,DL,991309131,,
96,DL,991339234,,
31,DB,991309132,,
98,DL,991309133,,
98,DL,991339235,,
33,DB,991327989,,
43,DB,991339236,,
43,DB,991309134,,
37,DB,991309135,,
37,DB,991339237,,
77,OL,991339238,,
77,OL,991309136,,
61,OL,991309137,,
89,WR,991309138,,
83,TE,991309139,,
21,RB,991313040,,
63,OL,991327990,,
49,LB,991309140,,
49,LB,991343061,,
36,DB,991312955,,
30,DB,991309141,,
59,DL,991309142,,
,OL,991309143,,
36,K,991309144,,
44,LS,991307487,,
44,LS,991337513,,
14,QB,991337514,,
14,QB,991307488,,
6,P,991307489,,
6,P,991337515,,
19,WR,991307490,,
94,DL,991337516,,
94,DL,991307491,,
72,OL,991337517,,
72,OL,991307492,,
83,WR,991337518,,
83,WR,991307493,,
63,OL,991337519,,
63,OL,991307494,,
2,DB,991337520,,
2,DB,991307495,,
77,OL,991307496,,
77,OL,991337521,,
13,WR,991337522,,
13,WR,991307497,,
21,DB,991337523,,
21,DB,991307498,,
37,K,991307499,,
99,DL,991307500,,
30,RB,991337524,,
30,RB,991307501,,
10,QB,991323157,,
98,LB,991307502,,
98,LB,991337525,,
50,OL,991337526,,
50,OL,991307503,,
5,RB,991337527,,
5,RB,991307504,,
68,OL,991307505,,
68,OL,991337528,,
95,DL,991337529,,
95,DL,991307506,,
73,OL,991307507,,
40,LB,991307508,,
99,DL,991337530,,
92,DL,991307509,,
56,LB,991307510,,
56,LB,991337531,,
43,TE,991307511,,
46,TE,991307512,,
85,TE,991307513,,
85,TE,991337532,,
82,TE,991337533,,
